.species.name,tax.id,phage.nonphage,source,source.version,acc
Vibrio phage CP-T1 (vB_VchM-CP-T1),10689,phage,NCBI Refseq,209,NC_019457
Haemophilus virus HP1,10690,phage,NCBI Refseq,209,NC_001697
Enterobacteria phage RB18,10692,phage,NCBI Refseq,209,NC_054906
Helicobacter phage phiHP33,1069378,phage,NCBI Refseq,209,NC_016568
Enterobacteria phage RB51,10693,phage,NCBI Refseq,209,NC_012635
Streptomyces phage VWB,10702,phage,NCBI Refseq,209,NC_005345
Rhizobium phage 16-3,10704,phage,NCBI Refseq,209,NC_011103
Escherichia virus BF23,10707,phage,NCBI Refseq,209,NC_042564
Pseudomonas virus D3112,10708,phage,NCBI Refseq,209,NC_005178
Mycobacterium phage Lilac,1070990,phage,NCBI Refseq,209,NC_023689
Escherichia virus Lambda,10710,phage,NCBI Refseq,209,NC_001416
Psychrobacter phage Psymv2,1071177,phage,NCBI Refseq,209,NC_023734
Enterobacteria phage phi80 (Lula),10713,phage,NCBI Refseq,209,NC_021190
Mycobacterium virus Cuco,1071502,phage,NCBI Refseq,209,NC_042333
Mycobacterium phage Trixie,1071503,phage,NCBI Refseq,209,NC_023731
Mycobacterium phage Turbido,1071504,phage,NCBI Refseq,209,NC_023707
Mycobacterium virus GUmbie,1071505,phage,NCBI Refseq,209,NC_023746
Mycobacterium phage RidgeCB,1071506,phage,NCBI Refseq,209,NC_023710
Streptomyces virus phiC31,10719,phage,NCBI Refseq,209,NC_001978
Bacillus phage SPP1,10724,phage,NCBI Refseq,209,NC_004166
Escherichia virus T5,10726,phage,NCBI Refseq,209,NC_005859
Escherichia phage 933W,10730,phage,NCBI Refseq,209,NC_000924
Streptomyces phage R4,10732,phage,NCBI Refseq,209,NC_019414
Enterococcus phage SAP6,1073766,phage,NCBI Refseq,209,NC_041960
Cronobacter virus Esp2949-1,1073767,phage,NCBI Refseq,209,NC_019509
uncultured phage WW-nAnB,1074044,phage,NCBI Refseq,209,NC_026582
Mycobacterium virus Drago,1074303,phage,NCBI Refseq,209,NC_023721
Mycobacterium virus Liefie,1074304,phage,NCBI Refseq,209,NC_023705
Mycobacterium phage Dandelion,1074305,phage,NCBI Refseq,209,NC_023696
Mycobacterium virus Eureka,1074306,phage,NCBI Refseq,209,NC_041850
Mycobacterium phage LinStu,1074307,phage,NCBI Refseq,209,NC_023714
Mycobacterium phage Patience,1074308,phage,NCBI Refseq,209,NC_023691
Mycobacterium phage BigNuz,1074309,phage,NCBI Refseq,209,NC_023692
Streptococcus phage Cp1,10747,phage,NCBI Refseq,209,NC_001825
Streptococcus phage CP-7,10748,phage,NCBI Refseq,209,NC_042114
Bacillus phage Nf,10753,phage,NCBI Refseq,209,NC_049976
Salmonella virus P22 (P22),10754,phage,NCBI Refseq,209,NC_002371
Enterobacteria phage T7M,1075774,phage,NCBI Refseq,209,NC_047867
Bacillus phage PZA,10757,phage,NCBI Refseq,209,NC_001423
Escherichia phage T7 (T7),10760,phage,NCBI Refseq,209,NC_001604
Mycobacterium virus Perseus,1076136,phage,NCBI Refseq,209,NC_023720
Shigella virus Sf6,10761,phage,NCBI Refseq,209,NC_005344
Mycobacterium phage AnnaL29,1076630,phage,NCBI Refseq,209,NC_022087
Mycobacterium phage Jebeks,1076631,phage,NCBI Refseq,209,NC_041969
Vibrio phage phiVC8,1076759,phage,NCBI Refseq,209,NC_027118
Bacillus virus B103,10778,phage,NCBI Refseq,209,NC_004165
Mycobacterium phage Redi,1079894,phage,NCBI Refseq,209,NC_023730
Mycobacterium phage Pleione,1079895,phage,NCBI Refseq,209,NC_023737
Synechococcus phage ACG-2014c,1079998,phage,NCBI Refseq,209,NC_019444
Synechococcus phage metaG-MbCM1,1079999,phage,NCBI Refseq,209,NC_019443
Salmonella phage SFP10,1080800,phage,NCBI Refseq,209,NC_016073
Escherichia phage G4,10843,phage,NCBI Refseq,209,NC_001420
Escherichia phage St-1,10845,phage,NCBI Refseq,209,NC_012868
Mycobacterium phage BarrelRoll,1084722,phage,NCBI Refseq,209,NC_023747
Escherichia phage alpha3,10849,phage,NCBI Refseq,209,NC_001330
Spiroplasma virus SpV4 (Sp-4),10855,phage,NCBI Refseq,209,NC_003438
Xanthomonas virus Cf1c,10862,phage,NCBI Refseq,209,NC_001396
Enterobacteria phage fd,10864,phage,NCBI Refseq,209,NC_025824
Mycobacterium phage Dreamboat,1086749,phage,NCBI Refseq,209,NC_023708
Mycobacterium virus Rumpelstiltskin,1086751,phage,NCBI Refseq,209,NC_023732
Salmonella phage IKe,10867,phage,NCBI Refseq,209,NC_002014
Mycobacterium phage Violet,1086800,phage,NCBI Refseq,209,NC_023695
Escherichia phage If1,10868,phage,NCBI Refseq,209,NC_001954
Escherichia virus I22,10869,phage,NCBI Refseq,209,NC_001332
Pseudomonas phage Pf3,10872,phage,NCBI Refseq,209,NC_001418
Salmonella phage vB_SenM-S16,1087482,phage,NCBI Refseq,209,NC_020416
Mycobacterium phage Bongo,1088864,phage,NCBI Refseq,209,NC_041970
Mycobacterium phage MoMoMixon,1088865,phage,NCBI Refseq,209,NC_023733
Mycobacterium phage Nappy,1088866,phage,NCBI Refseq,209,NC_023725
Mycobacterium phage Vista,1089108,phage,NCBI Refseq,209,NC_023727
Mycobacterium phage Akoma,1089110,phage,NCBI Refseq,209,NC_023742
Mycobacterium virus Alma,1089111,phage,NCBI Refseq,209,NC_023716
Mycobacterium phage Athena,1089113,phage,NCBI Refseq,209,NC_041965
Mycobacterium virus Babsiella,1089115,phage,NCBI Refseq,209,NC_023697
Mycobacterium virus Billknuckles,1089116,phage,NCBI Refseq,209,NC_023739
Mycobacterium phage Blue7,1089117,phage,NCBI Refseq,209,NC_023713
Mycobacterium virus Bruns,1089118,phage,NCBI Refseq,209,NC_023687
Mycobacterium virus Courthouse,1089119,phage,NCBI Refseq,209,NC_023690
Mycobacterium virus DeadP,1089120,phage,NCBI Refseq,209,NC_023728
Mycobacterium phage Dori,1089121,phage,NCBI Refseq,209,NC_023703
Mycobacterium phage Gadjet,1089122,phage,NCBI Refseq,209,NC_023686
Mycobacterium virus Jeffabunny,1089125,phage,NCBI Refseq,209,NC_042334
Mycobacterium phage Kikipoo,1089127,phage,NCBI Refseq,209,NC_028907
Mycobacterium virus Kugel,1089128,phage,NCBI Refseq,209,NC_023702
Mycobacterium virus LHTSCC,1089129,phage,NCBI Refseq,209,NC_023745
Mycobacterium virus SG4,1089132,phage,NCBI Refseq,209,NC_023699
Mycobacterium virus Firecracker,1089135,phage,NCBI Refseq,209,NC_023712
Mycobacterium phage JacAttac,1089136,phage,NCBI Refseq,209,NC_023740
Mycobacterium phage Stinger,1089137,phage,NCBI Refseq,209,NC_023741
Enterobacteria phage IME10,1090133,phage,NCBI Refseq,209,NC_019501
Salmonella phage SPN3US,1090134,phage,NCBI Refseq,209,NC_027402
Dickeya virus Limestone,1091052,phage,NCBI Refseq,209,NC_019925
Pseudomonas virus LPB1,1091556,phage,NCBI Refseq,209,NC_027298
Pseudomonas virus FHA0480,1093100,phage,NCBI Refseq,209,NC_041851
Mycobacterium virus DotProduct,1097752,phage,NCBI Refseq,209,NC_042336
Mycobacterium virus Fionnbarth,1097753,phage,NCBI Refseq,209,NC_027365
Mycobacterium virus Saintus,1097754,phage,NCBI Refseq,209,NC_042335
Pseudomonas phage Bf7,1100790,phage,NCBI Refseq,209,NC_016764
Gordonia phage GTE7,1100814,phage,NCBI Refseq,209,NC_016166
Yersinia phage phiYeO3-12,110457,phage,NCBI Refseq,209,NC_001271
Bacteroides phage B124-14,1105171,phage,NCBI Refseq,209,NC_016770
Rhodobacter phage RcapMu,1105286,phage,NCBI Refseq,209,NC_016165
Vibrio phage VCY-phi,1105327,phage,NCBI Refseq,209,NC_016162
Salmonella phage Sh19,1108865,phage,NCBI Refseq,209,NC_019530
Gordonia phage GRU1,1109710,phage,NCBI Refseq,209,NC_016435
Nocardia phage NBR1,1109711,phage,NCBI Refseq,209,NC_016569
Rhodococcus phage REQ1,1109712,phage,NCBI Refseq,209,NC_016655
Rhodococcus phage REQ2,1109713,phage,NCBI Refseq,209,NC_016652
Rhodococcus phage REQ3,1109714,phage,NCBI Refseq,209,NC_016654
Rhodococcus phage RER2,1109715,phage,NCBI Refseq,209,NC_016653
Rhodococcus virus RGL3,1109716,phage,NCBI Refseq,209,NC_016650
Rhodococcus phage RRH1,1109717,phage,NCBI Refseq,209,NC_016651
Shigella phage EP23,1109721,phage,NCBI Refseq,209,NC_016566
Salmonella phage 9NA,1113547,phage,NCBI Refseq,209,NC_025443
Pseudomonas phage tf,1114179,phage,NCBI Refseq,209,NC_017971
Salmonella phage SE2,1115478,phage,NCBI Refseq,209,NC_016763
Pectobacterium phage phiTE,1116482,phage,NCBI Refseq,209,NC_020201
Staphylococcus phage SpaA1,1118063,phage,NCBI Refseq,209,NC_018277
Bacillus phage BceA1,1118064,phage,NCBI Refseq,209,NC_048628
Streptococcus virus 7201,112023,phage,NCBI Refseq,209,NC_002185
Sulfolobus virus STSV2,1123964,phage,NCBI Refseq,209,NC_020077
Bacillus phage phIS3501,1124578,phage,NCBI Refseq,209,NC_019502
Escherichia phage TL-2011b,1124654,phage,NCBI Refseq,209,NC_019445
Escherichia phage TL-2011c,1124655,phage,NCBI Refseq,209,NC_019442
Pseudomonas phage OBP,1124849,phage,NCBI Refseq,209,NC_016571
Salmonella phage SPN1S,1125653,phage,NCBI Refseq,209,NC_016761
Thermoanaerobacterium phage THSA-485A,1126885,phage,NCBI Refseq,209,NC_018264
Bacillus phage B5S,1126949,phage,NCBI Refseq,209,NC_047736
Bacillus phage BCP78,1126950,phage,NCBI Refseq,209,NC_018860
Bacillus phage BCU4,1126951,phage,NCBI Refseq,209,NC_047735
Salmonella phage SPN9CC,1127357,phage,NCBI Refseq,209,NC_017985
Aeromonas phage vB_AsaM-56 (phage 56-Popoff),1127514,phage,NCBI Refseq,209,NC_019527
Bdellovibrio phage phi1422 (vB_BbaM-phi1422),1127515,phage,NCBI Refseq,209,NC_019525
Pectobacterium phage ZF40 (vB_PcaM-ZF40),1127516,phage,NCBI Refseq,209,NC_019522
Vibrio phage vB_VchM-138,1127518,phage,NCBI Refseq,209,NC_019518
Clostridium phage phi24R,1128071,phage,NCBI Refseq,209,NC_019523
Pseudomonas phage phi297,1129145,phage,NCBI Refseq,209,NC_016762
Pseudomonas virus PMG1,1129146,phage,NCBI Refseq,209,NC_016765
Klebsiella phage KP27,1129147,phage,NCBI Refseq,209,NC_020080
Klebsiella phage KP36,1129191,phage,NCBI Refseq,209,NC_029099
Bacillus phage BCP8-2,1129192,phage,NCBI Refseq,209,NC_027355
Xanthomonas phage vB_XveM_DIBBI,1129194,phage,NCBI Refseq,209,NC_017981
Erwinia phage PEp14,1131315,phage,NCBI Refseq,209,NC_016767
Rhodobacter phage RcapNL,1131316,phage,NCBI Refseq,209,NC_020489
Escherichia phage FV3,1131317,phage,NCBI Refseq,209,NC_019517
Burkholderia phage vB_BceS_KL1,1132026,phage,NCBI Refseq,209,NC_018278
Burkholderia phage vB_BceS_AH2,1133022,phage,NCBI Refseq,209,NC_018283
Brucella phage Tb,1133292,phage,NCBI Refseq,209,NC_019446
Brucella phage Pr,1133293,phage,NCBI Refseq,209,NC_019447
Bacillus phage BCD7,1136534,phage,NCBI Refseq,209,NC_019515
Bacillus phage BPS13,1136731,phage,NCBI Refseq,209,NC_018857
Cyanophage S-TIM5,1137745,phage,NCBI Refseq,209,NC_019516
Aeromonas phage phiAS7,1141132,phage,NCBI Refseq,209,NC_019528
Bacillus phage B4,1141133,phage,NCBI Refseq,209,NC_018863
Salmonella virus SPN19,1141134,phage,NCBI Refseq,209,NC_019417
Cronobacter phage vB_CsaM_GAP31,1141135,phage,NCBI Refseq,209,NC_019400
Cronobacter phage vB_CsaM_GAP32,1141136,phage,NCBI Refseq,209,NC_019401
Cronobacter phage vB_CsaP_GAP52,1141137,phage,NCBI Refseq,209,NC_019402
Cronobacter phage vB_CsaM_GAP161,1141138,phage,NCBI Refseq,209,NC_019398
Escherichia phage vB_EcoP_ACG-C91,1141139,phage,NCBI Refseq,209,NC_019403
Escherichia phage vB_EcoS_ACG-M12,1141140,phage,NCBI Refseq,209,NC_019404
Escherichia phage vB_EcoM_ACG-C40,1141141,phage,NCBI Refseq,209,NC_019399
Escherichia phage phiKT,1141519,phage,NCBI Refseq,209,NC_019520
Pseudomonas phage vB_Pae-TbilisiM32,1141525,phage,NCBI Refseq,209,NC_017865
Pseudomonas phage vB_Pae-Kakheti25,1141526,phage,NCBI Refseq,209,NC_017864
Lactococcus phage ul36,114416,phage,NCBI Refseq,209,NC_004066
Staphylococcus phage StB12,1147042,phage,NCBI Refseq,209,NC_020490
Staphylococcus phage StB20,1147043,phage,NCBI Refseq,209,NC_019915
Staphylococcus phage StB27,1147044,phage,NCBI Refseq,209,NC_019914
Klebsiella phage vB_KleM_RaK2,1147094,phage,NCBI Refseq,209,NC_019526
Clostridium phage phi8074-B1,1147137,phage,NCBI Refseq,209,NC_019924
Enterobacter phage phiKDA1,1147139,phage,NCBI Refseq,209,NC_027980
Salmonella phage SPN3UB,1147140,phage,NCBI Refseq,209,NC_019545
Mycobacterium phage Spartacus,1147141,phage,NCBI Refseq,209,NC_041986
Escherichia phage HK578,1147142,phage,NCBI Refseq,209,NC_019724
Enterobacteria phage HK140,1147143,phage,NCBI Refseq,209,NC_019710
Enterobacteria phage HK225,1147144,phage,NCBI Refseq,209,NC_019717
Escherichia phage HK446,1147145,phage,NCBI Refseq,209,NC_019714
Escherichia phage HK630,1147146,phage,NCBI Refseq,209,NC_019723
Escherichia phage HK633,1147147,phage,NCBI Refseq,209,NC_019719
Escherichia phage HK629,1147148,phage,NCBI Refseq,209,NC_019711
Enterobacteria phage mEp043 c-1,1147149,phage,NCBI Refseq,209,NC_019706
Enterobacteria phage mEp235,1147150,phage,NCBI Refseq,209,NC_019708
Enterobacteria phage mEp237,1147151,phage,NCBI Refseq,209,NC_019704
Enterobacteria phage mEp460,1147152,phage,NCBI Refseq,209,NC_019716
Escherichia phage mEpX1,1147153,phage,NCBI Refseq,209,NC_019709
Escherichia phage mEpX2,1147154,phage,NCBI Refseq,209,NC_019705
Enterobacteria phage vB_EcoS_Rogue1,1147155,phage,NCBI Refseq,209,NC_019718
Enterobacterial phage mEp213,1147156,phage,NCBI Refseq,209,NC_019720
Escherichia phage mEp234,1147157,phage,NCBI Refseq,209,NC_019715
Enterobacterial phage mEp390,1147158,phage,NCBI Refseq,209,NC_019721
Escherichia phage JLK-2012,1147722,phage,NCBI Refseq,209,NC_049942
Escherichia phage P13374,1150869,phage,NCBI Refseq,209,NC_018846
Vibrio phage pVp-1,1150989,phage,NCBI Refseq,209,NC_019529
Enterobacter phage Enc34,1150990,phage,NCBI Refseq,209,NC_019524
Sphingomonas phage PAU,1150991,phage,NCBI Refseq,209,NC_019521
Ralstonia phage RSS0,1150992,phage,NCBI Refseq,209,NC_019548
Vibrio phage phi-A318,1151014,phage,NCBI Refseq,209,NC_025822
Helicobacter phage 1961P,1154995,phage,NCBI Refseq,209,NC_019512
Pseudomonas phage NH-4,1158680,phage,NCBI Refseq,209,NC_019451
Aeromonas virus 44RR2,115987,phage,NCBI Refseq,209,NC_005135
Escherichia virus RB43,115991,phage,NCBI Refseq,209,NC_007023
Vibrio phage nt-1 (nt-1),115992,phage,NCBI Refseq,209,NC_021529
Bacillus phage PBC1,1161901,phage,NCBI Refseq,209,NC_017976
Pseudomonas phage MP42,1161903,phage,NCBI Refseq,209,NC_018274
Weissella phage phiYS61,1161906,phage,NCBI Refseq,209,NC_018270
Pseudomonas phage Lu11,1161927,phage,NCBI Refseq,209,NC_017972
Vibrio phage SSP002,1161928,phage,NCBI Refseq,209,NC_041910
Leuconostoc phage Lmd1,1161930,phage,NCBI Refseq,209,NC_018273
Agrobacterium phage 7-7-1,1161931,phage,NCBI Refseq,209,NC_019519
Mycobacterium phage Twister,1161933,phage,NCBI Refseq,209,NC_041982
Mycobacterium phage Tiger,1161934,phage,NCBI Refseq,209,NC_041984
Salinivibrio phage CW02,1161935,phage,NCBI Refseq,209,NC_019540
Enterococcus phage vB_Efae230P-4,1161939,phage,NCBI Refseq,209,NC_025467
Cronobacter phage CR9,1162290,phage,NCBI Refseq,209,NC_023717
Cronobacter phage CR3,1162295,phage,NCBI Refseq,209,NC_017974
Clostridium phage phiCP7R,1162304,phage,NCBI Refseq,209,NC_017980
Clostridium phage phiCPV4,1162305,phage,NCBI Refseq,209,NC_018083
Clostridium phage phiZP2,1162306,phage,NCBI Refseq,209,NC_018084
Salmonella phage Ent1,1163482,phage,NCBI Refseq,209,NC_019539
Lactococcus virus ASCC191,1165134,phage,NCBI Refseq,209,NC_017688
Lactococcus virus ASCC273,1165135,phage,NCBI Refseq,209,NC_017695
Lactococcus virus ASCC281,1165136,phage,NCBI Refseq,209,NC_017702
Lactococcus virus ASCC465,1165151,phage,NCBI Refseq,209,NC_017698
Lactococcus virus ASCC532,1165160,phage,NCBI Refseq,209,NC_017696
Staphylococcus phage phi7401PVL,1165702,phage,NCBI Refseq,209,NC_020199
Cronobacter phage phiES15,1168280,phage,NCBI Refseq,209,NC_018454
Vibrio phage VvAW1,1168281,phage,NCBI Refseq,209,NC_020488
Nonlabens phage P12024S,1168478,phage,NCBI Refseq,209,NC_018271
Nonlabens phage P12024L,1168479,phage,NCBI Refseq,209,NC_018272
Salmonella phage vB_SemP_Emek,1168548,phage,NCBI Refseq,209,NC_018275
Salmonella phage vB_SosS_Oslo,1168549,phage,NCBI Refseq,209,NC_018279
Stenotrophomonas phage Smp131,1168563,phage,NCBI Refseq,209,NC_023588
Mycobacterium virus Avani,1168594,phage,NCBI Refseq,209,NC_023698
Mycobacterium phage Aeneas,1168595,phage,NCBI Refseq,209,NC_023723
Staphylococcus phage SMSAP5,1168612,phage,NCBI Refseq,209,NC_019513
Staphylococcus phage TEM123,1168613,phage,NCBI Refseq,209,NC_017968
Listeria phage vB_LmoM_AG20,1168744,phage,NCBI Refseq,209,NC_020871
Enterococcus phage BC611,1173135,phage,NCBI Refseq,209,NC_018086
Halocynthia phage JM-2012,1173297,phage,NCBI Refseq,209,NC_017975
Salmonella virus SP126,1173741,phage,NCBI Refseq,209,NC_042066
Listeria phage LP-030-2,1173743,phage,NCBI Refseq,209,NC_021539
Listeria phage LP-026,1173745,phage,NCBI Refseq,209,NC_024375
Listeria phage LP-037,1173747,phage,NCBI Refseq,209,NC_021787
Listeria phage LP-110,1173748,phage,NCBI Refseq,209,NC_021785
Salmonella phage FSL SP-031,1173749,phage,NCBI Refseq,209,NC_021775
Salmonella phage FSL SP-101,1173752,phage,NCBI Refseq,209,NC_042065
Salmonella virus FSLSP030,1173754,phage,NCBI Refseq,209,NC_021779
Salmonella virus FSLSP088,1173757,phage,NCBI Refseq,209,NC_021780
Salmonella phage FSL SP-058,1173761,phage,NCBI Refseq,209,NC_021772
Salmonella phage FSL SP-076,1173762,phage,NCBI Refseq,209,NC_021782
Listeria phage LP-048,1173764,phage,NCBI Refseq,209,NC_024359
Listeria phage LP-124,1173765,phage,NCBI Refseq,209,NC_047745
Listeria phage LP-125,1173766,phage,NCBI Refseq,209,NC_021781
Salmonella phage FSLSP004,1173769,phage,NCBI Refseq,209,NC_021774
Mycobacterium phage SWU1,1175504,phage,NCBI Refseq,209,NC_017973
Pseudomonas phage PaMx25,1175654,phage,NCBI Refseq,209,NC_041953
Pseudomonas phage PaMx11,1175657,phage,NCBI Refseq,209,NC_028770
Pseudomonas phage PaMx28,1175659,phage,NCBI Refseq,209,NC_028931
Pseudomonas phage PaMx42,1175662,phage,NCBI Refseq,209,NC_028879
Pseudomonas phage PaMx74,1175663,phage,NCBI Refseq,209,NC_028809
Croceibacter phage P2559S,1176422,phage,NCBI Refseq,209,NC_018276
Marinomonas phage P12026,1176423,phage,NCBI Refseq,209,NC_018269
Mycobacterium phage ICleared,1176425,phage,NCBI Refseq,209,NC_054800
Yersinia phage YpP-Y,1176766,phage,NCBI Refseq,209,NC_047939
Yersinia phage YpsP-G,1176767,phage,NCBI Refseq,209,NC_047940
Salmonella phage SSU5,1177632,phage,NCBI Refseq,209,NC_018843
Salisaeta icosahedral phage 1 (SSIP-1),1183239,phage,NCBI Refseq,209,NC_017983
Acinetobacter phage AP22,1187128,phage,NCBI Refseq,209,NC_017984
