.species.name,tax.id,phage.nonphage,source,source.version,acc
Shigella virus Shfl1,1002724,phage,NCBI Refseq,209,NC_015456
Shigella phage Shfl2,1002725,phage,NCBI Refseq,209,NC_015457
Vibrio phage qdvp001,1003177,phage,NCBI Refseq,209,NC_029057
Salmonella virus iEPS5,1005056,phage,NCBI Refseq,209,NC_021783
Staphylococcus phage Sb1,1007127,phage,NCBI Refseq,209,NC_023009
Rhodococcus phage E3,1007869,phage,NCBI Refseq,209,NC_021347
Staphylococcus phage S24-1,1010614,phage,NCBI Refseq,209,NC_016565
Enterobacteria phage ES18,101570,phage,NCBI Refseq,209,NC_006949
Synechococcus phage S-CRM01,1026955,phage,NCBI Refseq,209,NC_015569
Stenotrophomonas phage phiSHP2,1027253,phage,NCBI Refseq,209,NC_015586
Staphylococcus phage ISP,1028375,phage,NCBI Refseq,209,NC_047720
Erwinia phage phiEaH2,1029988,phage,NCBI Refseq,209,NC_019929
Clostridium phage phiCD38-2,1032362,phage,NCBI Refseq,209,NC_015568
Mycobacterium virus BBPiebs31,1032891,phage,NCBI Refseq,209,NC_042327
Mycobacterium virus Heldan,1032892,phage,NCBI Refseq,209,NC_042328
Mycobacterium virus Optimus,1032893,phage,NCBI Refseq,209,NC_041844
Mycobacterium phage Timshel,1032895,phage,NCBI Refseq,209,NC_041983
Flavobacterium phage FCV-1,1033977,phage,NCBI Refseq,209,NC_041845
Mycobacterium virus Baka,1034099,phage,NCBI Refseq,209,NC_042316
Mycobacterium virus Bask21,1034100,phage,NCBI Refseq,209,NC_041846
Mycobacterium virus Dlane,1034101,phage,NCBI Refseq,209,NC_042317
Mycobacterium virus Hammer,1034103,phage,NCBI Refseq,209,NC_042318
Mycobacterium virus Ibhubesi,1034107,phage,NCBI Refseq,209,NC_042319
Mycobacterium virus JC27,1034108,phage,NCBI Refseq,209,NC_042320
Mycobacterium virus Kssjeb,1034109,phage,NCBI Refseq,209,NC_042326
Mycobacterium virus Lesedi,1034110,phage,NCBI Refseq,209,NC_042321
Mycobacterium virus Littlee,1034111,phage,NCBI Refseq,209,NC_042322
Mycobacterium virus Mozy,1034112,phage,NCBI Refseq,209,NC_042323
Mycobacterium virus Museum,1034113,phage,NCBI Refseq,209,NC_042324
Mycobacterium virus Pixie,1034114,phage,NCBI Refseq,209,NC_042325
Mycobacterium phage Rey,1034115,phage,NCBI Refseq,209,NC_041971
Mycobacterium phage SirDuracell,1034116,phage,NCBI Refseq,209,NC_041987
Mycobacterium phage Switzer,1034118,phage,NCBI Refseq,209,NC_041985
Mycobacterium virus Faith1,1034125,phage,NCBI Refseq,209,NC_015584
Mycobacterium phage Adephagia,1034127,phage,NCBI Refseq,209,NC_051610
Mycobacterium phage Alice,1034128,phage,NCBI Refseq,209,NC_028986
Mycobacterium virus Backyardigan,1034129,phage,NCBI Refseq,209,NC_042308
Mycobacterium phage ChrisnMich,1034130,phage,NCBI Refseq,209,NC_042034
Mycobacterium virus George,1034133,phage,NCBI Refseq,209,NC_042312
Mycobacterium virus Gladiator,1034135,phage,NCBI Refseq,209,NC_042309
Mycobacterium virus JHC117,1034136,phage,NCBI Refseq,209,NC_042310
Mycobacterium virus JoeDirt,1034137,phage,NCBI Refseq,209,NC_042313
Mycobacterium phage Marvin,1034139,phage,NCBI Refseq,209,NC_042032
Mycobacterium virus Microwolf,1034140,phage,NCBI Refseq,209,NC_042311
Mycobacterium virus Packman,1034142,phage,NCBI Refseq,209,NC_042314
Mycobacterium phage Phipps,1034143,phage,NCBI Refseq,209,NC_028942
Mycobacterium phage Rockstar,1034144,phage,NCBI Refseq,209,NC_042036
Mycobacterium virus RockyHorror,1034145,phage,NCBI Refseq,209,NC_042315
Mycobacterium phage Send513,1034146,phage,NCBI Refseq,209,NC_042033
Mycobacterium phage Vortex,1034149,phage,NCBI Refseq,209,NC_028801
Mycobacterium virus Yoshi,1034150,phage,NCBI Refseq,209,NC_042030
Mycobacterium phage Zemanar,1034151,phage,NCBI Refseq,209,NC_042035
Mycobacterium virus Anaya,1034152,phage,NCBI Refseq,209,NC_042031
Mycobacterium phage OSmaximus,1035482,phage,NCBI Refseq,209,NC_028803
Mycobacterium phage Toto,1035485,phage,NCBI Refseq,209,NC_028906
Bdellovibrio phage phi1402,1035662,phage,NCBI Refseq,209,NC_015721
Mycobacterium virus Mrgordo,1036613,phage,NCBI Refseq,209,NC_042329
Mycobacterium virus Mutaforma13,1036614,phage,NCBI Refseq,209,NC_041847
Mycobacterium phage Shauna1,1036615,phage,NCBI Refseq,209,NC_041989
Mycobacterium phage ShiLan,1036616,phage,NCBI Refseq,209,NC_041988
Enterobacteria phage phiP27,103807,phage,NCBI Refseq,209,NC_003356
Mycobacterium virus Ericb,1041406,phage,NCBI Refseq,209,NC_042330
Escherichia phage K30,1041524,phage,NCBI Refseq,209,NC_015719
Staphylococcus phage S25-3,1041526,phage,NCBI Refseq,209,NC_022920
Staphylococcus phage S25-4,1041527,phage,NCBI Refseq,209,NC_022918
Mycobacterium virus Benedict,1041807,phage,NCBI Refseq,209,NC_042331
Clostridium phage phiCP13O,1042122,phage,NCBI Refseq,209,NC_019506
Clostridium phage phiCP34O,1042123,phage,NCBI Refseq,209,NC_019508
Cyanophage S-TIM4,1048189,phage,NCBI Refseq,209,NC_048015
Escherichia phage phiEB49,1048207,phage,NCBI Refseq,209,NC_023743
Acinetobacter phage ZZ1,1049283,phage,NCBI Refseq,209,NC_018087
Mycobacterium virus Doom,1051138,phage,NCBI Refseq,209,NC_023704
Mycobacterium virus Euphoria,1051140,phage,NCBI Refseq,209,NC_023726
Mycobacterium virus JAWS,1051143,phage,NCBI Refseq,209,NC_042332
Chlamydia phage 2,105154,phage,NCBI Refseq,209,NC_002194
Streptococcus phage YMC-2011,1051631,phage,NCBI Refseq,209,NC_018285
Erwinia phage vB_EamP-L1,1051673,phage,NCBI Refseq,209,NC_019510
Erwinia phage vB_Eam-MM7,1051674,phage,NCBI Refseq,209,NC_041978
Erwinia phage vB_EamP-S6,1051675,phage,NCBI Refseq,209,NC_019514
Erwinia phage vB_EamM-Y2,1051676,phage,NCBI Refseq,209,NC_019504
Escherichia phage Bp7,1052121,phage,NCBI Refseq,209,NC_019500
Mycobacterium phage Oline,1052671,phage,NCBI Refseq,209,NC_023711
Mycobacterium phage Sebata,1052672,phage,NCBI Refseq,209,NC_041993
Mycobacterium phage Thibault,1052673,phage,NCBI Refseq,209,NC_023738
Escherichia phage vB_EcoP_G7C,1054461,phage,NCBI Refseq,209,NC_015933
Escherichia phage wV7,1054480,phage,NCBI Refseq,209,NC_019505
Escherichia phage ime09,1054834,phage,NCBI Refseq,209,NC_019503
Salmonella phage 7-11,1054968,phage,NCBI Refseq,209,NC_015938
Mycobacterium phage Charlie,1056830,phage,NCBI Refseq,209,NC_023729
Mycobacterium virus Larva,1056831,phage,NCBI Refseq,209,NC_023724
Mycobacterium phage Wile,1056833,phage,NCBI Refseq,209,NC_023709
Staphylococcus virus phiETA (Bacteriophage phi ETA),106284,phage,NCBI Refseq,209,NC_003288
Enterobacteria phage PRD1,10658,phage,NCBI Refseq,209,NC_001421
Escherichia virus T4,10665,phage,NCBI Refseq,209,NC_000866
Enterobacteria phage T6,10666,phage,NCBI Refseq,209,NC_054907
Enterobacteria phage P4,10680,phage,NCBI Refseq,209,NC_001609
Enterobacteria phage P7,10682,phage,NCBI Refseq,209,NC_050152
