induced.host,induced.phage,estimate,statistic,p.value,adj.p.BH,method,alternative
sigF,ELDg168,0.1812778378030501,7995082161.066914,4.777346924473679e-30,7.643755079157887e-30,Spearman's rank correlation rho,two.sided
sigF,ELDg169,0.7667323325295412,2277932921.642489,0,0,Spearman's rank correlation rho,two.sided
sigF,Goe3,0.12754448580270947,8519805423.57084,1.4771296702452906e-15,1.4771296702452906e-15,Spearman's rank correlation rho,two.sided
sigF,SP10,0.1959257673620347,7852040472.78606,6.550133955119668e-35,1.3100267910239336e-34,Spearman's rank correlation rho,two.sided
sigG,ELDg168,0.15215869457382739,8279439850.802331,1.4943444148942416e-21,1.7078221884505617e-21,Spearman's rank correlation rho,two.sided
sigG,ELDg169,0.726903000978336,2666879004.7896276,0,0,Spearman's rank correlation rho,two.sided
sigG,Goe3,0.17590712627784222,8047528866.298641,2.3037068162308977e-28,3.0716090883078634e-28,Spearman's rank correlation rho,two.sided
sigG,SP10,0.24875471292787615,7336149026.59869,7.319146818627904e-56,1.9517724849674408e-55,Spearman's rank correlation rho,two.sided
