strain,colony,exp,pnl,IPTG,noIPTG,induction.ratio
Empty Vector,COL1,exp1,Neg. Ctrl,0.37781814453888285,0.2288447307811221,1.6509803098776434
Empty Vector,COL1,exp2,Neg. Ctrl,0.3265215565645752,0.47368842791500476,0.6893171488309271
Empty Vector,COL1,exp3,Neg. Ctrl,0.30918269984752905,0.7231781736504821,0.42753322917204023
Empty Vector,COL1,exp4,Neg. Ctrl,0.6356679359858008,0.6805501503706946,0.9340500999662604
Empty Vector,COL2,exp1,Neg. Ctrl,0.41048932216405737,0.38252980304679485,1.0730910870069965
Empty Vector,COL2,exp2,Neg. Ctrl,0.4380322835454268,0.4160071732637016,1.0529440637019105
Empty Vector,COL3,exp1,Neg. Ctrl,0.6798812832723702,0.6151089916234296,1.105302137557752
Empty Vector,COL3,exp2,Neg. Ctrl,0.5032956259450068,0.4004641423144436,1.256780752045011
sigF,COL1,exp1,Host,0.020215008779019952,0.4341390777764767,0.046563439722023744
sigF,COL1,exp2,Host,0.17540766189979246,0.489742266984464,0.35816320894630255
sigF,COL1,exp3,Host,0.037626099352504834,0.5586316067681788,0.0673540467396413
sigF,COL1,exp4,Host,0.1247890172134577,0.7356357389080049,0.16963425050378528
sigF,COL2,exp1,Host,0.029784651473416853,0.41005614723334194,0.0726355443623381
sigF,COL2,exp2,Host,0.10469619529242453,0.5541249996022184,0.18893967131528314
sigF,COL3,exp1,Host,0.06855269041723232,0.6190856197929657,0.11073216405859608
sigF,COL3,exp2,Host,0.12239248888656637,0.48220279668791016,0.2538195334561298
sigG,COL1,exp1,Host,0.06125014878052112,0.48919413569353204,0.12520622041735352
sigG,COL1,exp2,Host,0.22711185800524533,0.32207062955208465,0.7051616545137881
sigG,COL1,exp3,Host,0.6114976586503496,0.5693637170238499,1.0740018030069427
sigG,COL1,exp4,Host,0.7692925147648435,0.7194698057884492,1.0692492006968866
sigG,COL2,exp1,Host,0.09981147882571433,0.455939158409012,0.21891403049039246
sigG,COL2,exp2,Host,0.07584793900983873,0.5718270202124822,0.13264140435625932
sigG,COL3,exp1,Host,0.2346163133276747,0.612930460498705,0.3827780285822006
sigG,COL3,exp2,Host,0.1279024521426969,0.5904172974770329,0.21663059786569397
SP10,COL1,exp1,Phage,0.4593857800192304,0.4405336507589078,1.0427938461178754
SP10,COL1,exp2,Phage,0.5790125540442463,0.5317709344087928,1.0888382884032115
SP10,COL1,exp3,Phage,0.8097468412605755,0.7866140832788746,1.0294080140102193
SP10,COL1,exp4,Phage,0.8277278147130014,0.7675931710582711,1.0783418168921741
SP10,COL2,exp1,Phage,0.4221957789758878,0.5157774534109347,0.8185619130573206
SP10,COL2,exp2,Phage,0.6041198513140171,0.598413321558714,1.0095361008014312
SP10,COL3,exp1,Phage,0.3287915764614025,0.5976807932184748,0.5501123345304102
SP10,COL3,exp2,Phage,0.6750823295036396,0.651611244657064,1.0360200733781506
Goe3,COL1,exp1,Phage,0.13153241457218867,0.46085483379793596,0.2854096451331998
Goe3,COL1,exp2,Phage,0.23306497948645966,0.54171647202389706,0.43023424895261136
Goe3,COL1,exp3,Phage,0.11053044975765972,0.5213239903664981,0.2120187288521966
Goe3,COL1,exp4,Phage,0.2336453398287589,0.4868222261695854,0.4799397547378375
Goe3,COL2,exp1,Phage,0.16082977396120168,0.421720514779365,0.3813657821349865
Goe3,COL2,exp2,Phage,0.2146579796860636,0.47385576259235407,0.45300278403647554
Goe3,COL3,exp1,Phage,0.27974607341372754,0.6067708437843424,0.4610407310756587
Goe3,COL3,exp2,Phage,0.2983047972647903,0.45257599884319516,0.6591264186065344
ELDg168,COL1,exp3,Phage,0.13771247830161915,0.4302963540815176,0.3200410066117599
ELDg168,COL1,exp4,Phage,0.5718154814459722,0.5616789957408653,1.0180467594159126
ELDg168,COL2,exp3,Phage,0.1939262105699786,0.6716275691524681,0.28874069421345455
ELDg168,COL2,exp4,Phage,0.4789991174563224,0.5274048675891274,0.9082189924524638
ELDg168,COL3,exp3,Phage,0.1951592440590751,0.5208597550875198,0.37468674082197534
ELDg168,COL3,exp4,Phage,0.6836664306041278,0.6432614974239801,1.0628126094006158
ELDg168,COL4,exp3,Phage,0.23520367472507772,0.5720380183377114,0.4111679070012819
ELDg168,COL4,exp4,Phage,0.6570241344952252,0.6816313533820488,0.963899520224928
ELDg168,COL5,exp3,Phage,0.17820485544142617,0.8355932375906469,0.2132674696545688
ELDg168,COL5,exp4,Phage,0.651685372823901,0.6205778933162897,1.0501266317131874
ELDg169,COL1,exp3,Phage,0.011811166695869874,0.6311237298761379,0.018714502619300803
ELDg169,COL1,exp4,Phage,0.007647906683581051,0.634981613292062,0.012044296281163921
ELDg169,COL2,exp3,Phage,0.008584206294485157,0.7342960679034438,0.011690388481848628
ELDg169,COL2,exp4,Phage,0.007623864913060487,0.5370140048012644,0.014196771117509107
ELDg169,COL3,exp3,Phage,0.017475914539649445,0.7717474924840311,0.02264460164735949
ELDg169,COL3,exp4,Phage,0.007643152199052809,0.5756515215333682,0.013277394244861327
ELDg169,COL4,exp3,Phage,0.01820950760953012,0.8019656982655058,0.022706092852741343
ELDg169,COL4,exp4,Phage,0.00693393431069363,0.45582579174967175,0.015211807748038915
ELDg169,COL5,exp3,Phage,0.021381419309126553,0.8216942820650526,0.026021136785072348
ELDg169,COL5,exp4,Phage,0.006331030634938655,0.682491564097784,0.009276350020982203
